target,pipeline_id,repository_sha,fixture_id,kind,stratum,shape,dataset,problem_idx,text_empty,control_gold_eligible,pre_truncation_answer_present,applicable,applicability_reason,adapter_status,status_reason,extracted_answer,answer_returned,answer_is_numeric,exception_class,exception_message,swallowed_error_observed,swallowed_error_detail,native_correct,duration_status
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-aa20e7ac6246feb9-001,truncated,real_truncated,,aime_2026_outputs,15,true,false,false,true,,ok,,,false,,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-aa20e7ac6246feb9-002,truncated,real_truncated,,aime_2026_outputs,15,true,false,false,true,,ok,,,false,,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-aa20e7ac6246feb9-003,truncated,real_truncated,,aime_2026_outputs,15,true,false,false,true,,ok,,,false,,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-aa20e7ac6246feb9-004,truncated,real_truncated,,aime_2026_outputs,15,true,false,false,true,,ok,,,false,,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-6cbbd1fc624eeadc-001,truncated,real_truncated,,aime_2026_outputs,17,false,false,false,true,,ok,,"2,",true,true,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-bd664f49bf0e323e-001,truncated,real_truncated,,aime_2026_outputs,23,false,false,false,true,,ok,,999,true,true,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-491eccf133b25a22-001,truncated,real_truncated,,aime_2026_outputs,15,true,false,false,true,,ok,,,false,,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-6a67539058b9830a-001,truncated,real_truncated,,brumo_2025_outputs,26,false,false,false,true,,ok,,5816,true,true,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-80007a0418241777-001,truncated,real_truncated,,brumo_2025_outputs,27,false,false,false,true,,ok,,1,true,true,,,,,false,captured_ephemeral
lm-evaluation-harness,gsm8k_flexible_extract,f4d4b3de3ee6741a7151a9fe74945ee515262f4c,real-truncated-3e5a56704b99efaf-001,truncated,real_truncated,,brumo_2025_outputs,29,false,false,false,true,,ok,,"798,681,656",true,true,,,,,false,captured_ephemeral
